		#Supersonic Airfoil

#group	#point	#x_cord	#y_cord	#z_cord
1	1	   0.0000000	   0.0000000	   0.0000000
1	2	   0.0200000	   0.0020580	   0.0000000
1	3	   0.0400000	   0.0040320	   0.0000000
1	4	   0.0600000	   0.0059220	   0.0000000
1	5	   0.0800000	   0.0077280	   0.0000000
1	6	   0.1000000	   0.0094500	   0.0000000
1	7	   0.1200000	   0.0110880	   0.0000000
1	8	   0.1400000	   0.0126420	   0.0000000
1	9	   0.1600000	   0.0141120	   0.0000000
1	10	   0.1800000	   0.0154980	   0.0000000
1	11	   0.2000000	   0.0168000	   0.0000000
1	12	   0.2200000	   0.0180180	   0.0000000
1	13	   0.2400000	   0.0191520	   0.0000000
1	14	   0.2600000	   0.0202020	   0.0000000
1	15	   0.2800000	   0.0211680	   0.0000000
1	16	   0.3000000	   0.0220500	   0.0000000
1	17	   0.3200000	   0.0228480	   0.0000000
1	18	   0.3400000	   0.0235620	   0.0000000
1	19	   0.3600000	   0.0241920	   0.0000000
1	20	   0.3800000	   0.0247380	   0.0000000
1	21	   0.4000000	   0.0252000	   0.0000000
1	22	   0.4200000	   0.0255780	   0.0000000
1	23	   0.4400000	   0.0258720	   0.0000000
1	24	   0.4600000	   0.0260820	   0.0000000
1	25	   0.4800000	   0.0262080	   0.0000000
1	26	   0.5000000	   0.0262500	   0.0000000
1	27	   0.5200000	   0.0262080	   0.0000000
1	28	   0.5400000	   0.0260820	   0.0000000
1	29	   0.5600000	   0.0258720	   0.0000000
1	30	   0.5800000	   0.0255780	   0.0000000
1	31	   0.6000000	   0.0252000	   0.0000000
1	32	   0.6200000	   0.0247380	   0.0000000
1	33	   0.6400000	   0.0241920	   0.0000000
1	34	   0.6600000	   0.0235620	   0.0000000
1	35	   0.6800000	   0.0228480	   0.0000000
1	36	   0.7000000	   0.0220500	   0.0000000
1	37	   0.7200000	   0.0211680	   0.0000000
1	38	   0.7400000	   0.0202020	   0.0000000
1	39	   0.7600000	   0.0191520	   0.0000000
1	40	   0.7800000	   0.0180180	   0.0000000
1	41	   0.8000000	   0.0168000	   0.0000000
1	42	   0.8200000	   0.0154980	   0.0000000
1	43	   0.8400000	   0.0141120	   0.0000000
1	44	   0.8600000	   0.0126420	   0.0000000
1	45	   0.8800000	   0.0110880	   0.0000000
1	46	   0.9000000	   0.0094500	   0.0000000
1	47	   0.9200000	   0.0077280	   0.0000000
1	48	   0.9400000	   0.0059220	   0.0000000
1	49	   0.9600000	   0.0040320	   0.0000000
1	50	   0.9800000	   0.0020580	   0.0000000
1	51	   1.0000000	   0.0000000	   0.0000000
1	52	   0.9800000	  -0.0020580	   0.0000000
1	53	   0.9600000	  -0.0040320	   0.0000000
1	54	   0.9400000	  -0.0059220	   0.0000000
1	55	   0.9200000	  -0.0077280	   0.0000000
1	56	   0.9000000	  -0.0094500	   0.0000000
1	57	   0.8800000	  -0.0110880	   0.0000000
1	58	   0.8600000	  -0.0126420	   0.0000000
1	59	   0.8400000	  -0.0141120	   0.0000000
1	60	   0.8200000	  -0.0154980	   0.0000000
1	61	   0.8000000	  -0.0168000	   0.0000000
1	62	   0.7800000	  -0.0180180	   0.0000000
1	63	   0.7600000	  -0.0191520	   0.0000000
1	64	   0.7400000	  -0.0202020	   0.0000000
1	65	   0.7200000	  -0.0211680	   0.0000000
1	66	   0.7000000	  -0.0220500	   0.0000000
1	67	   0.6800000	  -0.0228480	   0.0000000
1	68	   0.6600000	  -0.0235620	   0.0000000
1	69	   0.6400000	  -0.0241920	   0.0000000
1	70	   0.6200000	  -0.0247380	   0.0000000
1	71	   0.6000000	  -0.0252000	   0.0000000
1	72	   0.5800000	  -0.0255780	   0.0000000
1	73	   0.5600000	  -0.0258720	   0.0000000
1	74	   0.5400000	  -0.0260820	   0.0000000
1	75	   0.5200000	  -0.0262080	   0.0000000
1	76	   0.5000000	  -0.0262500	   0.0000000
1	77	   0.4800000	  -0.0262080	   0.0000000
1	78	   0.4600000	  -0.0260820	   0.0000000
1	79	   0.4400000	  -0.0258720	   0.0000000
1	80	   0.4200000	  -0.0255780	   0.0000000
1	81	   0.4000000	  -0.0252000	   0.0000000
1	82	   0.3800000	  -0.0247380	   0.0000000
1	83	   0.3600000	  -0.0241920	   0.0000000
1	84	   0.3400000	  -0.0235620	   0.0000000
1	85	   0.3200000	  -0.0228480	   0.0000000
1	86	   0.3000000	  -0.0220500	   0.0000000
1	87	   0.2800000	  -0.0211680	   0.0000000
1	88	   0.2600000	  -0.0202020	   0.0000000
1	89	   0.2400000	  -0.0191520	   0.0000000
1	90	   0.2200000	  -0.0180180	   0.0000000
1	91	   0.2000000	  -0.0168000	   0.0000000
1	92	   0.1800000	  -0.0154980	   0.0000000
1	93	   0.1600000	  -0.0141120	   0.0000000
1	94	   0.1400000	  -0.0126420	   0.0000000
1	95	   0.1200000	  -0.0110880	   0.0000000
1	96	   0.1000000	  -0.0094500	   0.0000000
1	97	   0.0800000	  -0.0077280	   0.0000000
1	98	   0.0600000	  -0.0059220	   0.0000000
1	99	   0.0400000	  -0.0040320	   0.0000000
1	100	   0.0200000	  -0.0020580	   0.0000000
