  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.7475   0.06445   0.05886  -0.0429   1.0000   0.0855
  -9.900  -0.7573   0.06221   0.05654  -0.0427   1.0000   0.0849
  -9.800  -0.7672   0.05991   0.05415  -0.0424   1.0000   0.0842
  -9.700  -0.7770   0.05759   0.05169  -0.0420   1.0000   0.0836
  -9.600  -0.7847   0.05537   0.04933  -0.0414   1.0000   0.0831
  -9.500  -0.7915   0.05320   0.04701  -0.0406   1.0000   0.0826
  -9.400  -0.7969   0.05116   0.04480  -0.0398   1.0000   0.0823
  -9.300  -0.8004   0.04930   0.04278  -0.0389   1.0000   0.0822
  -9.200  -0.8019   0.04771   0.04104  -0.0381   1.0000   0.0824
  -9.100  -0.8022   0.04628   0.03946  -0.0372   1.0000   0.0829
  -9.000  -0.8017   0.04494   0.03797  -0.0363   1.0000   0.0835
  -8.900  -0.8009   0.04364   0.03651  -0.0354   1.0000   0.0842
  -8.800  -0.7998   0.04237   0.03506  -0.0344   1.0000   0.0849
  -8.700  -0.7983   0.04112   0.03362  -0.0334   1.0000   0.0856
  -8.600  -0.7964   0.03990   0.03221  -0.0323   1.0000   0.0863
  -8.500  -0.7939   0.03874   0.03084  -0.0313   1.0000   0.0869
  -8.400  -0.7909   0.03765   0.02953  -0.0303   1.0000   0.0876
  -8.300  -0.7875   0.03665   0.02828  -0.0292   1.0000   0.0882
  -8.200  -0.7835   0.03566   0.02709  -0.0282   1.0000   0.0888
  -8.100  -0.7771   0.03434   0.02580  -0.0278   1.0000   0.0900
  -8.000  -0.7698   0.03365   0.02514  -0.0274   1.0000   0.0914
  -7.900  -0.7624   0.03312   0.02462  -0.0269   1.0000   0.0930
  -7.800  -0.7553   0.03257   0.02404  -0.0263   1.0000   0.0946
  -7.700  -0.7486   0.03192   0.02331  -0.0256   1.0000   0.0963
  -7.600  -0.7423   0.03122   0.02246  -0.0249   1.0000   0.0979
  -7.500  -0.7360   0.03051   0.02157  -0.0240   1.0000   0.0995
  -7.400  -0.7296   0.02987   0.02072  -0.0232   1.0000   0.1008
  -7.300  -0.7223   0.02893   0.01975  -0.0227   1.0000   0.1025
  -7.200  -0.7141   0.02832   0.01921  -0.0223   1.0000   0.1046
  -7.100  -0.7064   0.02789   0.01879  -0.0218   1.0000   0.1068
  -7.000  -0.6987   0.02744   0.01828  -0.0212   1.0000   0.1093
  -6.900  -0.6911   0.02694   0.01768  -0.0205   1.0000   0.1118
  -6.800  -0.6836   0.02646   0.01703  -0.0198   1.0000   0.1141
  -6.700  -0.6754   0.02571   0.01629  -0.0194   1.0000   0.1165
  -6.600  -0.6672   0.02523   0.01591  -0.0190   1.0000   0.1192
  -6.500  -0.6592   0.02486   0.01554  -0.0184   1.0000   0.1224
  -6.400  -0.6513   0.02448   0.01507  -0.0178   1.0000   0.1259
  -6.300  -0.6434   0.02411   0.01454  -0.0171   1.0000   0.1292
  -6.200  -0.6349   0.02346   0.01403  -0.0168   1.0000   0.1325
  -6.100  -0.6268   0.02311   0.01373  -0.0163   1.0000   0.1363
  -6.000  -0.6187   0.02279   0.01333  -0.0157   1.0000   0.1408
  -5.900  -0.6105   0.02234   0.01284  -0.0152   1.0000   0.1452
  -5.800  -0.6024   0.02195   0.01256  -0.0147   1.0000   0.1495
  -5.700  -0.5943   0.02164   0.01223  -0.0142   1.0000   0.1549
  -5.600  -0.5861   0.02125   0.01181  -0.0137   1.0000   0.1604
  -5.500  -0.5781   0.02091   0.01158  -0.0132   1.0000   0.1659
  -5.400  -0.5699   0.02065   0.01124  -0.0127   1.0000   0.1729
  -5.300  -0.5618   0.02024   0.01094  -0.0122   1.0000   0.1791
  -5.200  -0.5537   0.01998   0.01068  -0.0117   1.0000   0.1870
  -5.100  -0.5457   0.01963   0.01041  -0.0112   1.0000   0.1946
  -5.000  -0.5375   0.01939   0.01015  -0.0107   1.0000   0.2040
  -4.900  -0.5296   0.01905   0.00994  -0.0102   1.0000   0.2126
  -4.800  -0.5214   0.01878   0.00968  -0.0097   1.0000   0.2234
  -4.700  -0.5134   0.01853   0.00949  -0.0093   1.0000   0.2346
  -4.600  -0.5054   0.01824   0.00931  -0.0088   1.0000   0.2460
  -4.500  -0.4973   0.01798   0.00911  -0.0083   1.0000   0.2589
  -4.400  -0.4891   0.01774   0.00894  -0.0079   1.0000   0.2730
  -4.300  -0.4809   0.01751   0.00878  -0.0074   1.0000   0.2881
  -4.200  -0.4728   0.01728   0.00864  -0.0070   1.0000   0.3039
  -4.100  -0.4646   0.01706   0.00851  -0.0066   1.0000   0.3204
  -4.000  -0.4564   0.01685   0.00840  -0.0061   1.0000   0.3375
  -3.900  -0.4481   0.01664   0.00830  -0.0057   1.0000   0.3554
  -3.800  -0.4397   0.01644   0.00821  -0.0053   1.0000   0.3740
  -3.700  -0.4313   0.01626   0.00813  -0.0049   1.0000   0.3935
  -3.600  -0.4229   0.01609   0.00806  -0.0045   1.0000   0.4139
  -3.500  -0.4144   0.01594   0.00800  -0.0041   1.0000   0.4354
  -3.400  -0.4060   0.01578   0.00797  -0.0037   1.0000   0.4560
  -3.300  -0.3976   0.01565   0.00795  -0.0032   1.0000   0.4779
  -3.200  -0.3892   0.01553   0.00793  -0.0028   1.0000   0.5011
  -3.100  -0.3809   0.01541   0.00794  -0.0023   1.0000   0.5234
  -3.000  -0.3726   0.01531   0.00795  -0.0018   1.0000   0.5469
  -2.900  -0.3644   0.01523   0.00797  -0.0012   1.0000   0.5709
  -2.800  -0.3563   0.01515   0.00800  -0.0006   1.0000   0.5943
  -2.700  -0.3482   0.01509   0.00803  -0.0000   1.0000   0.6190
  -2.600  -0.3404   0.01503   0.00810   0.0007   1.0000   0.6424
  -2.500  -0.3326   0.01500   0.00817   0.0014   1.0000   0.6668
  -2.400  -0.3250   0.01498   0.00824   0.0022   1.0000   0.6906
  -2.300  -0.3176   0.01498   0.00834   0.0031   1.0000   0.7142
  -2.200  -0.3104   0.01499   0.00843   0.0040   1.0000   0.7385
  -2.100  -0.3037   0.01502   0.00855   0.0050   1.0000   0.7611
  -2.000  -0.2970   0.01507   0.00867   0.0061   1.0000   0.7845
  -1.900  -0.2905   0.01514   0.00879   0.0072   1.0000   0.8079
  -1.800  -0.2841   0.01524   0.00894   0.0084   1.0000   0.8308
  -1.700  -0.2774   0.01534   0.00910   0.0095   1.0000   0.8547
  -1.600  -0.2672   0.01549   0.00928   0.0100   0.9993   0.8785
  -1.500  -0.2461   0.01571   0.00949   0.0085   0.9960   0.9037
  -1.400  -0.2210   0.01597   0.00972   0.0061   0.9937   0.9263
  -1.300  -0.1933   0.01619   0.00990   0.0031   0.9910   0.9446
  -1.200  -0.1626   0.01642   0.01007  -0.0007   0.9889   0.9601
  -1.100  -0.1294   0.01664   0.01023  -0.0049   0.9875   0.9728
  -1.000  -0.0940   0.01683   0.01035  -0.0097   0.9866   0.9829
  -0.900  -0.0570   0.01696   0.01042  -0.0148   0.9858   0.9906
  -0.800  -0.0206   0.01705   0.01045  -0.0199   0.9849   0.9983
  -0.700   0.0050   0.01704   0.01040  -0.0232   0.9810   1.0000
  -0.600   0.0265   0.01700   0.01033  -0.0258   0.9753   1.0000
  -0.500   0.0506   0.01697   0.01026  -0.0287   0.9713   1.0000
  -0.400   0.0705   0.01692   0.01018  -0.0308   0.9651   1.0000
  -0.300   0.0932   0.01687   0.01011  -0.0334   0.9601   1.0000
  -0.200   0.1189   0.01681   0.01002  -0.0364   0.9567   1.0000
  -0.100   0.1366   0.01675   0.00994  -0.0380   0.9495   1.0000
   0.000   0.1605   0.01666   0.00984  -0.0406   0.9450   1.0000
   0.100   0.1875   0.01655   0.00971  -0.0438   0.9419   1.0000
   0.200   0.2046   0.01646   0.00962  -0.0451   0.9345   1.0000
   0.300   0.2264   0.01634   0.00949  -0.0472   0.9293   1.0000
   0.400   0.2509   0.01617   0.00932  -0.0497   0.9255   1.0000
   0.500   0.2637   0.01609   0.00924  -0.0501   0.9165   1.0000
   0.600   0.2843   0.01592   0.00906  -0.0518   0.9113   1.0000
   0.700   0.2989   0.01582   0.00895  -0.0524   0.9036   1.0000
   0.800   0.3147   0.01567   0.00881  -0.0531   0.8964   1.0000
   0.900   0.3302   0.01553   0.00866  -0.0538   0.8898   1.0000
   1.000   0.3417   0.01544   0.00856  -0.0537   0.8809   1.0000
   1.100   0.3564   0.01528   0.00840  -0.0541   0.8745   1.0000
   1.200   0.3655   0.01522   0.00833  -0.0535   0.8648   1.0000
   1.300   0.3785   0.01508   0.00817  -0.0536   0.8581   1.0000
   1.400   0.3868   0.01504   0.00813  -0.0529   0.8482   1.0000
   1.500   0.3981   0.01493   0.00800  -0.0525   0.8410   1.0000
   1.600   0.4064   0.01490   0.00795  -0.0518   0.8313   1.0000
   1.700   0.4166   0.01482   0.00786  -0.0513   0.8236   1.0000
   1.800   0.4251   0.01479   0.00781  -0.0506   0.8142   1.0000
   1.900   0.4346   0.01474   0.00774  -0.0500   0.8060   1.0000
   2.000   0.4434   0.01471   0.00769  -0.0493   0.7969   1.0000
   2.100   0.4523   0.01470   0.00765  -0.0486   0.7882   1.0000
   2.200   0.4614   0.01467   0.00760  -0.0479   0.7795   1.0000
   2.300   0.4700   0.01468   0.00759  -0.0472   0.7703   1.0000
   2.400   0.4794   0.01466   0.00753  -0.0466   0.7620   1.0000
   2.500   0.4877   0.01469   0.00756  -0.0459   0.7523   1.0000
   2.600   0.4974   0.01467   0.00749  -0.0453   0.7444   1.0000
   2.700   0.5055   0.01472   0.00753  -0.0446   0.7343   1.0000
   2.800   0.5154   0.01471   0.00746  -0.0440   0.7267   1.0000
   2.900   0.5233   0.01478   0.00753  -0.0433   0.7161   1.0000
   3.000   0.5328   0.01480   0.00750  -0.0427   0.7079   1.0000
   3.100   0.5413   0.01485   0.00754  -0.0420   0.6979   1.0000
   3.200   0.5503   0.01490   0.00755  -0.0414   0.6889   1.0000
   3.300   0.5593   0.01494   0.00757  -0.0407   0.6796   1.0000
   3.400   0.5679   0.01501   0.00762  -0.0401   0.6699   1.0000
   3.500   0.5773   0.01506   0.00761  -0.0395   0.6613   1.0000
   3.600   0.5856   0.01514   0.00769  -0.0388   0.6509   1.0000
   3.700   0.5950   0.01519   0.00768  -0.0382   0.6423   1.0000
   3.800   0.6034   0.01527   0.00775  -0.0376   0.6318   1.0000
   3.900   0.6122   0.01535   0.00780  -0.0370   0.6223   1.0000
   4.000   0.6212   0.01542   0.00782  -0.0364   0.6126   1.0000
   4.100   0.6296   0.01551   0.00792  -0.0357   0.6022   1.0000
   4.200   0.6390   0.01559   0.00791  -0.0351   0.5933   1.0000
   4.300   0.6471   0.01568   0.00802  -0.0345   0.5821   1.0000
   4.400   0.6558   0.01578   0.00808  -0.0338   0.5721   1.0000
   4.500   0.6646   0.01586   0.00811  -0.0332   0.5621   1.0000
   4.600   0.6729   0.01597   0.00821  -0.0325   0.5510   1.0000
   4.700   0.6816   0.01607   0.00826  -0.0319   0.5410   1.0000
   4.800   0.6900   0.01617   0.00833  -0.0312   0.5300   1.0000
   4.900   0.6982   0.01628   0.00844  -0.0306   0.5187   1.0000
