  
       XFOIL         Version 6.99
  
 Calculated polar for: xfoil                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2180   0.00000   0.00223   0.0122   0.0000   0.0000
  -1.000  -0.1090   0.00000   0.00099   0.0061   0.0000   0.0000
   0.000  -0.0000   0.00000   0.00058   0.0000   0.0000   0.0000
   1.000   0.1090   0.00000   0.00099  -0.0061   0.0000   0.0000
   2.000   0.2179   0.00000   0.00223  -0.0122   0.0000   0.0000
   3.000   0.3267   0.00000   0.00429  -0.0183   0.0000   0.0000
   4.000   0.4352   0.00000   0.00717  -0.0244   0.0000   0.0000
   5.000   0.5435   0.00000   0.01085  -0.0304   0.0000   0.0000
   6.000   0.6514   0.00000   0.01532  -0.0364   0.0000   0.0000
   7.000   0.7588   0.00000   0.02058  -0.0423   0.0000   0.0000
   8.000   0.8657   0.00000   0.02661  -0.0482   0.0000   0.0000
   9.000   0.9719   0.00000   0.03338  -0.0541   0.0000   0.0000
  10.000   1.0776   0.00000   0.04087  -0.0599   0.0000   0.0000
  11.000   1.1824   0.00000   0.04907  -0.0656   0.0000   0.0000
  12.000   1.2865   0.00000   0.05795  -0.0712   0.0000   0.0000
  13.000   1.3897   0.00000   0.06748  -0.0767   0.0000   0.0000
  14.000   1.4919   0.00000   0.07763  -0.0822   0.0000   0.0000
  15.000   1.5932   0.00000   0.08837  -0.0875   0.0000   0.0000
  16.000   1.6933   0.00000   0.09967  -0.0928   0.0000   0.0000
  17.000   1.7923   0.00000   0.11149  -0.0979   0.0000   0.0000
  18.000   1.8902   0.00000   0.12380  -0.1029   0.0000   0.0000
  19.000   1.9868   0.00000   0.13656  -0.1078   0.0000   0.0000
  20.000   2.0821   0.00000   0.14972  -0.1125   0.0000   0.0000
